"id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
24,"Tostadora","08173","h",17,"r4","","r1","r1","r1","r3","r3","r3","r1","r2","r1","r2","r1","r3","r2","2015-12-22 13:55:28","2015-12-22 14:08:10",1,"2015-12-22 13:58:41",40,12,"true","true","true",4,0,3,"r3","r2",12,10,0
25,"Petarda","08022","h",17,"r3","","r1","r1","r2","r3","r1","r1","r1","r2","r1","r2","r3","r4","r2","2015-12-22 13:55:47","2015-12-22 14:07:54",1,"2015-12-22 13:59:53",40,12,"true","false","true",4,0,2,"r1","r3",12,10,1
26,"Carbu","08960","h",20,"r4","","r1","r2","r1","r1","r1","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-22 14:12:06","2015-12-22 14:28:19",1,"2015-12-22 14:16:07",40,16,"true","false","true",5,0,1,"r1","r4",16,9,0
27,"eliloru","08397","h",20,"r4","","r1","r2","r2","r3","r3","r3","r3","r2","r1","r2","r1","r3","r2","2015-12-22 14:12:41","2015-12-22 14:27:20",1,"2015-12-22 14:13:41",50,24,"true","true","false",5,0,5,"r1","r3",24,10,0
28,"Boils","08013","h",44,"r6","","r1","r2","r2","r2","r2","r1","r2","r1","r2","r2","r1","r3","r2","2015-12-22 14:13:27","2015-12-22 14:28:04",1,"2015-12-22 14:16:40",30,4,"true","false","false",5,0,6,"r2","r2",4,10,0
29,"Adri","08193","h",17,"r4","","r2","r3","r1","r2","r2","r3","r1","r2","r2","r2","r3","r3","r2","2015-12-22 14:14:10","2015-12-22 14:26:55",1,"2015-12-22 14:15:38",40,16,"true","false","false",5,0,2,"r2","r4",16,10,1
30,"Trico","08110","h",29,"r2","","r1","r2","r4","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-22 14:14:21","2015-12-22 14:27:00",1,"2015-12-22 14:17:11",20,14,"true","false","false",5,0,4,"r1","r3",14,10,0
31,"Skrymex","08290","h",17,"r3","","r1","r2","r2","r3","r3","r1","r2","r1","r2","r2","r1","r3","r2","2015-12-22 14:17:17","2015-12-22 14:28:31",1,"2015-12-22 14:18:49",60,44,"true","false","true",5,0,3,"r1","r4",44,10,0
32,"Lluna","08193","d",17,"r4","","r1","r1","r3","r2","r1","r3","r1","r1","r2","r2","r3","r3","r2","2015-12-22 14:31:25","2015-12-22 14:45:55",1,"2015-12-22 14:31:36",30,6,"true","false","false",6,0,1,"r1","r4",6,9,1
33,"Heras","08197","h",17,"r3","","r1","r2","r2","r3","r3","r1","r2","r1","r1","r2","r3","r3","r2","2015-12-22 14:31:32","2015-12-22 14:48:40",1,"2015-12-22 14:31:41",60,20,"true","false","false",6,0,5,"r3","r4",20,10,0
34,"Mekii","08820","d",17,"r5","","r1","r2","r4","r4","r3","r1","r3","r1","r3","r2","r3","r1","r4","2015-12-22 14:34:21","2015-12-22 14:48:16",1,"2015-12-22 14:36:48",40,38,"true","true","true",6,0,3,"r4","r2",38,10,0
35,"Celiamp","08024","d",16,"r3","","r1","r1","r4","r2","r2","r3","r3","r1","r3","r2","r1","r3","r2","2015-12-22 14:34:26","2015-12-22 14:45:51",1,"2015-12-22 14:36:58",40,10,"true","false","true",6,0,6,"r1","r2",10,10,0
36,"Nuriam","08031","d",17,"r3","","r1","r1","r2","r2","r2","r1","r2","r1","r2","r2","r4","r3","r3","2015-12-22 14:34:34","2015-12-22 14:48:09",1,"2015-12-22 14:38:23",50,38,"true","true","true",6,0,2,"r2","r3",38,10,0
37,"Marcb","08100","h",16,"r3","","r1","r1","r2","r2","r1","r1","r2","r1","r2","r2","r3","r3","r2","2015-12-22 14:35:01","2015-12-22 14:46:06",1,"2015-12-22 14:37:30",20,4,"true","false","false",6,0,4,"r3","r2",4,10,0
38,"Raboa","08006","d",39,"r6","","r1","r2","r2","r2","r1","r3","r2","r2","r1","r2","r3","r3","r2","2015-12-22 14:55:59","2015-12-22 15:09:03",1,"2015-12-22 14:57:41",50,20,"true","true","true",7,0,3,"r1","r2",20,10,0
39,"Marta","08017","h",23,"r6","","r1","r2","r1","r3","r2","r3","r1","r2","r2","r2","r1","r3","r2","2015-12-22 14:56:16","2015-12-22 15:11:24",1,"2015-12-22 14:56:43",40,22,"true","false","false",7,0,5,"r3","r3",22,10,0
40,"Agusaradarousi","08017","d",30,"r3","","r1","r1","r2","r3","r3","r3","r2","r1","r1","r2","r3","r3","r2","2015-12-22 14:57:06","2015-12-22 15:10:36",1,"2015-12-22 15:01:01",40,18,"true","false","false",7,0,4,"r1","r4",18,10,0
41,"Ana","08012","d",24,"r6","","r1","r2","r1","r3","r3","r3","r1","r2","r1","r2","r3","r3","r2","2015-12-22 14:57:12","2015-12-22 15:11:23",1,"2015-12-22 14:57:45",60,36,"true","false","false",7,0,2,"r1","r3",36,10,0
42,"Troc","08025","h",28,"r6","","r1","r2","r3","r2","r2","r1","r1","r2","r2","r2","r1","r3","r2","2015-12-22 14:57:41","2015-12-22 15:09:29",1,"2015-12-22 14:59:10",20,0,"true","false","false",7,0,6,"r1","r3",0,10,0
43,"Marc","08017","h",25,"r6","","r1","r1","r1","r2","r3","r2","r1","r3","r1","r2","r1","r3","r2","2015-12-22 14:58:39","2015-12-22 15:10:12",1,"2015-12-22 15:00:43",30,10,"true","true","true",7,0,1,"r1","r4",10,10,1
44,"Neus","08034","d",15,"r2","","r1","r2","r3","r3","r3","r1","r1","r3","r2","r2","r1","r3","r1","2015-12-22 15:34:38","2015-12-22 15:51:58",1,"2015-12-22 15:35:16",60,38,"true","false","true",8,0,4,"r1","r4",38,10,0
45,"Jordi98","08195","h",17,"r3","","r1","r2","r3","r3","r3","r1","r2","r2","r2","r2","r3","r3","r4","2015-12-22 15:35:00","2015-12-22 15:50:05",1,"2015-12-22 15:40:40",40,36,"true","false","true",8,0,6,"r1","r4",36,10,0
46,"Anna","08017","d",15,"r3","","r1","r1","r2","r3","r3","r3","r2","r1","r2","r2","r4","r3","r2","2015-12-22 15:36:20","2015-12-22 15:53:55",1,"2015-12-22 15:41:52",20,0,"true","false","false",8,0,2,"r3","r4",0,10,0
47,"Ferran","08013","h",32,"r5","","r1","r1","r1","r2","r3","r3","r1","r1","r1","r2","r3","r3","r2","2015-12-22 15:36:30","2015-12-22 15:52:11",1,"2015-12-22 15:40:50",50,16,"true","true","true",8,0,3,"r1","r3",16,10,0
48,"Alvaro","08034","h",27,"r6","","r1","r1","r2","r2","r3","r3","r2","r3","r3","r2","r3","r3","r2","2015-12-22 15:37:06","2015-12-22 15:51:14",1,"2015-12-22 15:38:48",30,2,"true","false","false",8,0,1,"r1","r3",2,10,1
49,"Belenda","08017","d",18,"r4","","r1","r1","r1","r2","r3","r1","r1","r2","r3","r2","r3","r3","r2","2015-12-22 15:37:47","2015-12-22 15:50:22",1,"2015-12-22 15:41:35",40,16,"true","false","true",8,0,5,"r3","r3",16,10,0
50,"Nat67","08017","d",48,"r6","","r1","r2","r2","r3","r2","r1","r1","r1","r1","r2","r3","r4","r2","2015-12-22 16:05:43","2015-12-22 16:26:42",1,"2015-12-22 16:08:26",20,0,"true","false","false",9,0,2,"r1","r4",0,10,0
51,"Viajero","08017","h",45,"r5","","r1","r3","r4","r3","r3","r1","r3","r1","r1","r2","r3","r3","r2","2015-12-22 16:09:39","2015-12-22 16:28:54",1,"2015-12-22 16:14:07",40,10,"true","true","false",9,0,5,"r1","r2",10,10,0
52,"Guillermo","08022","h",26,"r5","","r1","r2","r3","r3","r3","r3","r3","r3","r1","r2","r3","r3","r2","2015-12-22 16:12:09","2015-12-22 16:26:57",1,"2015-12-22 16:14:02",30,18,"true","false","false",9,0,6,"r3","r3",18,10,0
53,"Carla","08758","d",16,"r3","","r1","r3","r4","r3","r3","r3","r3","r3","r3","r2","r4","r3","r2","2015-12-22 16:13:18","2015-12-22 16:25:20",1,"2015-12-22 16:14:47",40,16,"true","false","false",9,0,3,"r3","r3",16,10,0
54,"Pachu","08034","d",22,"r3","","r1","r1","r2","r3","r2","r3","r3","r1","r2","r2","r4","r4","r2","2015-12-22 16:15:24","2015-12-22 16:27:50",1,"2015-12-22 16:17:59",60,44,"true","false","false",9,0,1,"r1","r2",44,10,0
55,"Axeliu","08017","h",17,"r3","","r1","r2","r1","r1","r1","r3","r1","r3","r3","r2","r3","r4","r2","2015-12-22 16:16:28","2015-12-22 16:26:02",1,"2015-12-22 16:17:34",50,18,"true","false","false",9,0,4,"r4","r3",18,10,1
56,"Ant","08006","d",17,"r3","","r1","r2","r2","r3","r3","r2","r2","r3","r3","r2","r3","r3","r2","2015-12-22 16:46:58","2015-12-22 16:58:54",1,"2015-12-22 16:49:34",40,20,"true","false","true",10,0,4,"r1","r4",20,10,0
57,"Maria","08006","d",17,"r4","","r1","r2","r2","r3","r1","r3","r1","r1","r1","r2","r3","r3","r3","2015-12-22 16:47:09","2015-12-22 16:59:45",1,"2015-12-22 16:48:59",40,22,"true","true","true",10,0,5,"r1","r3",22,10,0
58,"Irina","08006","d",17,"r3","","r1","r2","r2","r3","r3","r3","r1","r3","r3","r2","r4","r3","r2","2015-12-22 16:47:27","2015-12-22 16:59:45",1,"2015-12-22 16:48:28",30,10,"true","false","false",10,0,1,"r2","r2",10,10,0
59,"Paloma","08034","d",44,"r4","","r1","r2","r4","r2","r4","r3","r3","r3","r3","r2","r3","r3","r2","2015-12-22 16:47:44","2015-12-22 16:59:38",1,"2015-12-22 16:51:03",20,0,"true","true","false",10,0,2,"r1","r2",0,10,0
60,"Monica","08023","d",20,"r4","","r1","r1","r2","r3","r3","r3","r1","r2","r2","r2","r3","r3","r2","2015-12-22 16:48:04","2015-12-22 16:59:15",1,"2015-12-22 16:48:26",60,36,"true","false","false",10,0,3,"r1","r1",36,10,1
61,"Pau","08840","h",26,"r7","","r1","r1","r1","r3","r3","r1","r1","r2","r2","r2","r3","r3","r1","2015-12-22 16:48:13","2015-12-22 17:00:19",1,"2015-12-22 16:48:54",50,30,"true","false","true",10,0,6,"r3","r2",30,10,0
62,"Saskia","08034","d",14,"r2","","r1","r1","r2","r3","r3","r3","r3","r3","r1","r2","r3","r3","r4","2015-12-22 17:05:06","2015-12-22 17:18:40",1,"2015-12-22 17:08:31",50,28,"true","false","false",11,0,3,"r3","r3",28,10,0
63,"Millie","08013","d",15,"r2","","r1","r1","r2","r2","r2","r1","r1","r1","r1","r1","r4","r1","r2","2015-12-22 17:06:02","2015-12-22 17:21:15",1,"2015-12-22 17:06:20",40,22,"true","false","false",11,0,2,"r2","r4",22,10,1
64,"Marteta","08034","d",22,"r6","","r1","r1","r3","r3","r3","r1","r3","r1","r1","r2","r4","r3","r2","2015-12-22 17:06:11","2015-12-22 17:19:25",1,"2015-12-22 17:09:17",20,2,"true","false","false",11,0,5,"r3","r3",2,10,0
65,"Ari","08006","d",14,"r3","","r1","r1","r2","r3","r3","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-22 17:06:34","2015-12-22 17:21:36",1,"2015-12-22 17:10:00",40,20,"true","false","false",11,0,4,"r3","r1",20,10,0
66,"Segu","  0803","h",22,"r4","","r1","r1","r1","r2","r2","r1","r1","r2","r2","r2","r1","r4","r2","2015-12-22 17:07:20","2015-12-22 17:20:26",1,"2015-12-22 17:10:37",30,0,"true","false","false",11,0,1,"r1","r2",0,10,0
67,"Clara","08022","h",19,"r6","","r1","r1","r2","r3","r3","r3","r2","r1","r2","r2","r3","r3","r2","2015-12-22 17:07:41","2015-12-22 17:19:31",1,"2015-12-22 17:10:05",60,30,"true","false","false",11,0,6,"r1","r3",30,10,0
68,"Prova1Prov","08010","h",23,"r4","","","","","","","","","","","","","","","2015-12-23 14:34:21","",0,"2015-12-23 14:36:37",40,26,"true","false","false",12,0,5,"","",0,9,1
69,"Prova2","08010","h",99,"r1","","","","","","","","","","","","","","","2015-12-23 14:35:11","",0,"2015-12-23 14:36:47",20,14,"true","true","false",12,0,1,"","",0,10,0
70,"Mario33","11111","h",23,"r5","","","","","","","","","","","","","","","2015-12-23 14:35:28","",0,"2015-12-23 14:36:38",60,34,"true","false","false",12,0,2,"","",0,10,0
71,"Mario34","11111","h",26,"r4","","","","","","","","","","","","","","","2015-12-23 14:35:40","",0,"2015-12-23 14:36:39",30,20,"true","false","false",12,0,4,"","",0,10,0
72,"Mario35","11111","h",35,"r4","","","","","","","","","","","","","","","2015-12-23 14:35:56","",0,"2015-12-23 14:36:44",50,28,"true","false","false",12,0,3,"","",0,10,0
73,"Mario36","11111","h",45,"r4","","","","","","","","","","","","","","","2015-12-23 14:36:09","",0,"2015-12-23 14:36:41",40,20,"true","false","false",12,0,6,"","",0,10,0
74,"Silvestre","08010","h",52,"r6","","r2","r1","r2","r3","r2","r1","r2","r1","r2","r1","r3","r4","r2","2015-12-23 16:08:01","2015-12-23 16:32:50",1,"2015-12-23 16:09:18",50,28,"true","false","false",13,0,2,"r1","r2",28,9,0
75,"Anna15","08010","d",15,"r2","","r3","r3","r2","r3","r3","r1","r1","r1","r1","r2","r3","r3","r4","2015-12-23 16:09:20","2015-12-23 16:31:36",1,"2015-12-23 16:13:10",20,6,"true","false","false",13,0,3,"r1","r3",6,10,0
76,"Martifutsal9","08010","h",13,"r3","","r2","r2","r1","r1","r1","r1","r1","r1","r1","r3","r3","r4","r4","2015-12-23 16:13:04","2015-12-23 16:30:38",1,"2015-12-23 16:16:23",30,28,"true","false","false",13,0,4,"r3","r2",28,10,0
77,"AlbertZero","08027","h",24,"r6","","r1","r2","r1","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-23 16:13:05","2015-12-23 16:29:48",1,"2015-12-23 16:17:55",40,8,"true","true","true",13,0,6,"r4","r3",8,10,0
78,"Txeta","08025","d",37,"r6","","r1","r1","r2","r2","r1","r1","r1","r1","r3","r2","r1","r3","r2","2015-12-23 16:13:12","2015-12-23 16:29:44",1,"2015-12-23 16:18:38",40,10,"true","false","false",13,0,5,"r3","r2",10,10,0
79,"Pelli","08018","h",38,"r5","","","","","","","","","","","","","","","2015-12-23 16:13:18","",0,"2015-12-23 16:16:14",60,29,"true","false","false",13,0,1,"","",0,2,1
80,"Ignasi","08912","h",34,"r6","","","","","","","","","","","","","","","2015-12-23 16:37:36","",0,"",0,0,"true","false","true",0,0,0,"","",0,0,0
81,"Ignasi","08912","h",34,"r6","","r1","r3","r1","r2","r1","r1","r1","r1","r1","r2","r3","r2","r2","2015-12-23 16:37:36","2015-12-23 16:54:04",1,"2015-12-23 16:39:11",40,18,"true","false","true",14,0,5,"r1","r3",18,10,0
82,"Mariatt","08018","d",43,"r6","","r1","r4","r2","r3","r3","r1","r1","r1","r2","r2","r3","r2","r2","2015-12-23 16:39:28","2015-12-23 16:52:26",1,"2015-12-23 16:39:48",30,14,"true","false","false",14,0,1,"r2","r3",14,10,0
83,"ArnauBV","08005","h",13,"r3","","r1","r2","r2","r3","r3","r1","r1","r3","r1","r3","r1","r3","r1","2015-12-23 16:39:34","2015-12-23 16:54:09",1,"2015-12-23 16:41:51",40,24,"true","false","false",14,0,3,"r2","r2",24,10,1
84,"Cele","08003","d",30,"r3","","r1","r1","r4","r2","r1","r2","r2","r1","r1","r4","r3","r3","r2","2015-12-23 16:40:43","2015-12-23 16:56:47",1,"2015-12-23 16:44:43",20,4,"true","false","false",14,0,2,"r2","r4",4,10,0
85,"Pell*ll","08018","h",38,"r5","","r1","r4","r3","r1","r4","r3","r3","r3","r3","r2","r1","r3","r2","2015-12-23 16:42:05","2015-12-23 16:54:34",1,"2015-12-23 16:43:18",50,28,"true","false","false",14,0,6,"r2","r3",28,10,0
86,"Juli","1426","d",23,"r4","","r1","r4","r2","r3","r2","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-23 16:42:18","2015-12-23 16:53:23",1,"2015-12-23 16:42:37",60,34,"true","false","false",14,0,4,"r1","r3",34,10,0
87,"Yoconozco@yahoo.es","08012","h",43,"r6","","r1","r1","r1","r3","r3","r3","r2","r2","r2","r2","r3","r3","r2","2015-12-23 17:07:09","2015-12-23 17:23:40",1,"2015-12-23 17:11:03",50,10,"true","false","false",15,0,5,"r1","r4",10,10,0
88,"Mayesta","08003","d",41,"r6","","r1","r1","r2","r2","r3","r3","r2","r1","r1","r2","r3","r2","r2","2015-12-23 17:09:02","2015-12-23 17:22:28",1,"2015-12-23 17:11:26",30,6,"true","false","false",15,0,2,"r1","r4",6,10,0
89,"Yo","2001","d",36,"r6","","r1","r2","r2","r2","r4","r1","r3","r1","r3","r2","r3","r3","r2","2015-12-23 17:09:23","2015-12-23 17:26:16",1,"2015-12-23 17:14:18",20,12,"true","true","true",15,0,3,"r1","r3",12,9,0
90,"Jose","08001","h",31,"r6","","r1","r1","r2","r3","r3","r3","r1","r1","r2","r2","r3","r3","r2","2015-12-23 17:10:38","2015-12-23 17:23:19",1,"2015-12-23 17:12:57",40,2,"true","false","false",15,0,1,"r1","r4",2,10,0
91,"PICADILLO","08010","d",41,"r6","","r1","r1","r2","r2","r3","r3","r1","r1","r3","r2","r3","r3","r2","2015-12-23 17:10:46","2015-12-23 17:22:18",1,"2015-12-23 17:12:29",60,38,"true","false","false",15,0,6,"r3","r4",38,10,1
92,"Jess","13055","d",32,"r6","","r1","r3","r2","r2","r2","r3","r2","r1","r2","r2","r3","r3","r2","2015-12-23 17:11:29","2015-12-23 17:23:10",1,"2015-12-23 17:13:11",40,8,"true","false","false",15,0,4,"r1","r3",8,10,0
93,"Eva","08003","d",39,"r6","","","","","","","","","","","","","","","2015-12-23 17:27:38","",0,"2015-12-23 17:28:05",0,0,"true","false","false",16,0,0,"","",0,0,0
94,"carlota","08004","d",37,"r6","","","","","","","","","","","","","","","2015-12-23 17:28:59","",0,"2015-12-23 17:32:28",0,0,"true","false","false",16,0,0,"","",0,0,0
95,"Tronquet","08030","h",32,"r5","","","","","","","","","","","","","","","2015-12-23 17:32:55","",0,"2015-12-23 17:33:04",0,0,"true","false","true",16,0,0,"","",0,0,0
96,"Dunc","08003","h",22,"r4","","","","","","","","","","","","","","","2015-12-23 17:34:35","",0,"2015-12-23 17:37:37",0,0,"true","false","false",16,0,0,"","",0,0,0
97,"Frankie","08008","d",27,"r4","","","","","","","","","","","","","","","2015-12-23 17:35:08","",0,"2015-12-23 17:37:18",0,0,"true","false","false",16,0,0,"","",0,0,0
98,"Davidmorera","08003","h",42,"r4","","","","","","","","","","","","","","","2015-12-23 17:37:54","",0,"",0,0,"true","false","true",0,0,0,"","",0,0,0
99,"Fake","08019","h",34,"r1","","","","","","","","","","","","","","","2015-12-23 17:45:52","",0,"",0,0,"true","false","false",0,0,0,"","",0,0,0
100,"Fake","08019","h",34,"r1","","","","","","","","","","","","","","","2015-12-23 17:45:52","",0,"",0,0,"true","false","false",0,0,0,"","",0,0,0
101,"Fake","08019","h",34,"r1","","","","","","","","","","","","","","","2015-12-23 17:45:52","",0,"",0,0,"true","false","false",0,0,0,"","",0,0,0
102,"Axel","08021","h",28,"r6","","r1","r2","r2","r2","r2","r1","r1","r1","r3","r2","r3","r3","r1","2015-12-23 17:50:11","2015-12-23 18:50:42",1,"2015-12-23 18:35:32",50,36,"true","false","false",18,0,2,"r1","r3",36,10,0
103,"Pep","08010","h",23,"r1","","","","","","","","","","","","","","","2015-12-23 17:50:39","",0,"",0,0,"true","false","false",0,0,0,"","",0,0,0
104,"Rata laboratori","08030","h",32,"r5","","r1","r1","r2","r4","r4","r3","r3","r3","r3","r2","r3","r3","r2","2015-12-23 18:01:29","2015-12-23 18:19:50",1,"2015-12-23 18:01:36",50,26,"true","false","true",17,0,3,"r2","r3",26,10,0
105,"Wagingey","17251","d",37,"r6","","r1","r3","r2","r1","r1","r1","r1","r1","r2","r2","r3","r3","r2","2015-12-23 18:02:04","2015-12-23 18:18:13",1,"2015-12-23 18:06:17",30,20,"true","false","false",17,0,4,"r3","r3",20,10,0
106,"rraaps","08030","d",53,"r6","","r1","r1","r1","r3","r3","r3","r2","r2","r2","r2","r3","r3","r2","2015-12-23 18:02:18","2015-12-23 18:17:45",1,"2015-12-23 18:04:01",60,28,"true","false","false",17,0,5,"r1","r3",28,10,1
107,"aiwa","08003","d",39,"r6","","r1","r2","r4","r3","r3","r2","r1","r2","r2","r2","r1","r3","r2","2015-12-23 18:03:35","2015-12-23 18:17:14",1,"2015-12-23 18:06:30",40,16,"true","false","false",17,0,1,"r1","r2",16,10,0
108,"Ninyo","17200","h",45,"r5","","r1","r2","r1","r2","r2","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-23 18:06:28","2015-12-23 18:20:39",1,"2015-12-23 18:06:54",20,4,"true","false","true",17,0,2,"r3","r4",4,10,0
109,"Santiago","08030","h",53,"r6","","r1","r1","r3","r3","r3","r2","r1","r1","r3","r2","r1","r3","r2","2015-12-23 18:07:14","2015-12-23 18:17:58",1,"2015-12-23 18:08:18",40,24,"true","false","false",17,0,6,"r1","r4",24,10,0
110,"Pauerr","08017","h",26,"r6","","r2","r2","r4","r3","r3","r3","r1","r2","r1","r2","r3","r3","r2","2015-12-23 18:31:35","2015-12-23 18:51:05",1,"2015-12-23 18:35:59",40,14,"true","false","false",18,0,3,"r3","r4",14,10,0
