user_id,1,2,3,4,5,6,7,8,9,10
1,1.0,0.75,1.0,0.75,0.5,0.5,1.0,0.75,0.75,0.0
2,0.75,1.0,1.0,0.75,1.0,1.0,0.0,0.0,0.0,1.0
3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.5,0.25,1.0,0.75,0.5,1.0,1.0,0.25,0.25,0.5
7,0.5,1.0,0.5,0.25,0.25,0.5,0.25,0.0,0.25,0.0
8,0.75,1.0,0.75,0.5,1.0,0.75,1.0,0.75,0.25,0.0
20,0.25,0.5,0.75,0.5,0.5,0.5,0.75,0.25,0.5,0.5
21,0.5,0.5,0.75,0.25,1.0,0.5,1.0,0.75,0.0,0.5
22,0.5,1.0,0.75,0.5,0.25,0.25,0.5,0.25,1.0,0.75
23,0.5,0.75,1.0,0.0,0.25,0.75,0.0,0.0,0.25,0.0
24,0.5,0.75,0.25,0.25,0.75,0.5,0.25,0.0,0.5,0.5
25,0.5,1.0,0.75,0.75,0.5,0.5,1.0,0.25,0.75,0.75
31,0.5,0.75,1.0,0.25,0.75,0.25,0.25,0.0,0.25,0.25
33,0.25,0.5,0.25,0.75,0.25,0.0,0.5,0.5,1.0,0.75
34,0.25,0.5,1.0,1.0,0.0,0.25,0.5,0.75,0.25,0.25
35,0.5,1.0,0.25,0.75,0.75,1.0,0.5,0.75,0.25,0.0
36,0.5,0.75,1.0,0.5,0.75,0.25,0.25,0.5,1.0,0.0
37,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.25
38,0.5,0.75,1.0,1.0,1.0,1.0,0.75,0.5,0.5,0.25
39,1.0,0.5,1.0,0.25,1.0,0.75,0.5,1.0,0.25,0.0
40,0.0,0.25,0.0,0.25,0.0,0.0,0.75,0.5,0.0,0.0
41,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.75,0.5,0.25
42,1.0,1.0,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.0
43,0.75,0.5,0.5,0.5,0.25,0.0,0.75,0.75,0.5,0.0
50,0.5,0.5,0.25,0.25,0.0,0.25,0.5,0.5,0.5,0.0
51,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52,0.5,0.75,0.25,0.5,0.25,0.5,0.0,0.25,0.5,0.75
53,0.5,0.5,0.75,1.0,0.75,0.5,0.75,1.0,0.5,0.0
54,1.0,0.75,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
55,1.0,0.75,0.75,0.75,1.0,1.0,1.0,0.5,0.5,0.0
61,0.75,0.5,0.5,0.25,0.5,0.75,0.0,0.75,0.25,0.0
63,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.0,0.0
64,0.5,1.0,0.5,0.75,0.25,0.5,0.25,1.0,0.0,0.0
65,0.5,0.75,0.5,1.0,0.5,0.5,0.75,0.5,0.25,0.0
66,0.5,0.75,1.0,0.75,0.75,0.5,0.5,0.25,0.0,0.0
67,0.5,0.75,1.0,0.75,1.0,0.75,1.0,1.0,0.75,0.25
74,0.5,0.75,1.0,1.0,0.5,0.75,0.25,0.0,0.0,0.25
75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
76,0.75,1.0,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0
77,0.5,0.5,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0
78,1.0,1.0,0.5,0.75,1.0,0.75,0.5,0.0,0.0,0.0
79,0.5,1.0,0.75,1.0,0.5,0.75,0.25,0.0,0.0,0.0
84,1.0,1.0,0.5,0.75,1.0,0.75,0.25,0.25,0.5,0.0
86,0.25,1.0,0.75,0.5,0.5,0.5,0.75,1.0,1.0,1.0
89,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25
90,0.75,0.5,0.75,0.5,0.75,1.0,0.75,0.75,0.0,0.0
91,0.0,0.5,0.75,0.25,0.25,0.0,0.0,0.25,0.75,0.0
93,0.5,0.75,0.75,0.0,1.0,0.5,0.5,0.5,0.25,0.0
98,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1.0,1.0,0.5,0.5,0.75,1.0,1.0,0.5,1.0,0.5
100,1.0,0.5,1.0,0.5,0.75,0.0,1.0,0.5,1.0,0.0
101,0.5,0.5,0.75,0.25,0.5,0.75,0.75,0.5,0.5,0.0
102,0.5,0.75,0.5,0.5,0.75,0.5,1.0,0.5,0.75,0.5
104,0.75,0.5,1.0,0.75,0.5,0.25,0.75,0.5,0.0,0.0
110,0.5,0.5,0.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0
111,0.75,0.75,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0
112,0.75,1.0,0.75,0.5,0.5,1.0,0.25,0.0,0.25,0.0
113,0.5,1.0,0.75,1.0,0.5,0.25,0.25,0.0,0.25,0.0
114,0.75,1.0,0.75,1.0,0.75,1.0,0.5,0.5,1.0,0.0
115,1.0,1.0,0.5,1.0,0.75,1.0,0.75,0.5,0.25,0.0
122,1.0,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.75,0.0
123,1.0,0.75,0.75,0.75,0.5,0.5,1.0,0.0,0.0,0.0
124,0.75,0.75,1.0,0.5,1.0,0.25,0.5,1.0,0.75,0.5
125,0.5,1.0,0.75,0.25,0.75,0.5,0.5,0.5,0.25,0.25
127,0.25,0.5,0.75,0.25,0.75,0.0,0.25,0.5,0.25,0.0
128,0.5,0.75,0.5,0.75,0.5,0.25,0.5,0.25,0.25,0.0
134,0.25,0.5,0.5,0.75,1.0,0.75,0.5,0.5,1.0,0.75
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
136,0.5,1.0,1.0,0.75,0.5,0.75,0.75,0.75,0.0,0.25
137,1.0,1.0,0.75,0.5,1.0,0.5,0.75,1.0,1.0,1.0
138,0.5,0.5,0.75,0.5,0.5,0.75,1.0,1.0,1.0,1.0
139,0.5,0.75,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0
143,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
147,0.75,0.5,1.0,0.5,0.75,1.0,0.5,0.25,0.0,0.0
148,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0
149,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
151,0.5,0.75,0.75,1.0,0.75,0.75,0.5,0.25,0.0,0.0
152,1.0,1.0,1.0,0.75,0.5,0.5,0.75,0.0,0.0,0.0
158,0.75,0.5,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0
159,0.75,0.0,1.0,0.75,0.25,1.0,1.0,1.0,0.5,0.5
160,0.5,0.75,0.75,0.5,0.75,0.75,0.25,1.0,1.0,1.0
161,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.0,0.25
162,0.5,0.75,0.25,1.0,0.5,1.0,0.25,0.5,0.0,0.0
163,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0
176,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
177,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0,0.0
178,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.0
179,1.0,0.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.0
181,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0
182,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.0,0.5,0.5
185,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0
189,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0
190,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0
191,1.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0
192,0.5,1.0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5
193,0.5,1.0,0.5,0.0,0.5,1.0,0.0,0.5,1.0,0.5
197,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.0,0.0,0.0
198,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0
201,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.5
202,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.5,0.5
204,0.5,1.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5
205,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5
